DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,schoolyear,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,ATS SYSTEM CODE,PRIMARY_ADDRESS_LINE_1,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,Location 1
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,s,s,s,20112012,98,79,80,50,94.0,22.3,105.0,24.9,59,14.0,123,29.1,227,53.8,7,1.7,259.0,61.4,163.0,38.6,01M292,220 HENRY STREET,988117.0,199174.0,103,1,201,1002690041,MN28,Lower East Side                                                            ,"220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,37,53,21,20112012,109,97,93,95,83.0,21.1,86.0,21.8,115,29.2,89,22.6,181,45.9,9,2.3,226.0,57.4,168.0,42.6,01M448,200 MONROE STREET,988650.0,198776.0,103,1,202,1002590044,MN28,Lower East Side                                                            ,"200 MONROE STREET
MANHATTAN, NY 10002
(40.712269, -73.984128)"
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,12,12,s,20112012,101,93,77,86,30.0,5.0,158.0,26.4,58,9.7,143,23.9,331,55.4,62,10.4,327.0,54.7,271.0,45.3,01M450,420 EAST 12 STREET,989108.0,204927.0,103,2,3400,1004390017,MN22,East Village                                                               ,"420 EAST 12 STREET
MANHATTAN, NY 10009
(40.729152, -73.982472)"
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,s,s,s,20112012,131,49,44,    ,9.0,4.0,20.0,8.9,5,2.2,77,34.4,133,59.4,8,3.6,97.0,43.3,127.0,56.7,01M458,198 FORSYTH STREET,986892.0,202472.0,103,1,3601,1004220072,MN27,Chinatown                                                                  ,"198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,14,15,s,20112012,143,100,51,73,41.0,11.2,95.0,25.9,34,9.3,116,31.6,209,56.9,6,1.6,170.0,46.3,197.0,53.7,01M509,145 STANTON STREET,988120.0,201607.0,103,1,3001,1003540080,MN27,Chinatown                                                                  ,"145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,50,60,54,20112012,    ,261,209,92,453.0,80.6,7.0,1.2,476,84.7,29,5.2,50,8.9,5,0.9,302.0,53.7,260.0,46.3,01M515,145 STANTON STREET,988120.0,201607.0,103,1,3001,1003540080,MN27,Chinatown                                                                  ,"145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,306,587,323,20112012,117,123,147,157,4.0,0.2,43.0,2.7,448,27.8,189,11.7,229,14.2,725,44.9,794.0,49.2,819.0,50.8,01M539,111 COLUMBIA STREET,989910.0,201380.0,103,2,2201,1003350001,MN28,Lower East Side                                                            ,"111 COLUMBIA STREET
MANHATTAN, NY 10002
(40.719416, -73.979581)"
01M650,CASCADES HIGH SCHOOL,18,417,418,411,s,s,s,20112012,5,89,59,65,7.0,3.2,15.0,6.9,1,0.5,99,45.4,108,49.5,9,4.1,87.0,39.9,131.0,60.1,01M650,198 FORSYTH STREET,986892.0,202472.0,103,1,3601,1004220072,MN27,Chinatown                                                                  ,"198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,s,s,s,20112012,184,162,128,143,1.0,0.2,5.0,0.8,93,15.1,93,15.1,112,18.2,307,49.8,193.0,31.3,424.0,68.7,01M696,525 EAST HOUSTON STREET,990877.0,200965.0,103,2,1002,1003250025,MN28,Lower East Side                                                            ,"525 EAST HOUSTON STREET
MANHATTAN, NY 10002
(40.718276, -73.976093)"
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,s,s,s,20112012,50,63,38,23,14.0,8.0,56.0,32.2,3,1.7,56,32.2,103,59.2,11,6.3,74.0,42.5,100.0,57.5,02M047,223 EAST 23 STREET,989424.0,208287.0,106,2,6400,1009040024,MN21,Gramercy                                                                   ,"223 EAST 23 STREET
MANHATTAN, NY 10010
(40.738374, -73.981329)"
